OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP070_V_1_torque_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value,Binar_OP130_Resultat_Global_v
130.7,133.68,176.2,115.7,12.06,12.26,0.41,11.97,6.4,19.65,16.2,95.21,6.4,1
143.0,171.08,162.5,109.57,11.87,12.19,,11.98,6.6,27.07,17.7,96.31,6.61,1
153.9,165.52,163.9,116.62,12.07,12.27,,11.97,6.62,22.54,22.4,92.36,6.61,1
197.5,180.12,176.6,111.0,12.04,12.26,,11.97,6.56,20.65,19.6,97.36,6.6,1
183.4,137.62,168.6,114.57,12.05,12.17,0.41,11.97,6.41,22.57,16.9,95.25,6.41,1
138.9,148.53,139.2,117.04,11.9,12.29,,11.97,6.6,23.32,13.4,92.95,6.6,1
145.3,143.66,140.4,113.33,12.13,12.22,0.37,11.97,6.4,17.99,22.1,83.4,6.42,1
163.9,160.84,161.1,114.11,11.83,12.31,0.38,11.97,6.6,26.13,15.6,96.49,6.63,1
149.1,150.9,145.5,114.86,11.83,12.35,0.37,11.97,6.61,24.28,14.3,112.08,6.63,1
183.6,168.71,171.7,109.94,11.81,12.22,0.35,11.97,6.61,26.42,22.9,100.99,6.61,1
148.9,160.03,143.6,117.43,11.86,12.36,0.31,11.97,6.62,25.38,14.9,96.43,6.63,1
151.7,169.93,152.3,117.44,11.88,12.2,,11.97,6.61,25.53,28.4,97.23,6.61,1
137.9,169.57,171.6,119.1,11.88,12.25,,11.97,6.61,23.86,25.0,96.55,6.62,1
166.8,153.57,156.5,112.85,12.07,12.24,,11.97,6.62,23.82,29.0,100.6,6.61,1
158.5,152.95,153.2,113.33,12.11,12.18,0.4,11.97,6.41,19.34,23.8,83.37,6.4,1
194.8,144.13,158.1,111.36,11.78,12.41,,11.98,6.61,24.56,14.6,97.63,6.61,1
173.8,139.75,158.2,114.43,11.72,12.21,,11.98,6.62,26.65,16.4,100.88,6.6,1
149.2,157.6,184.1,112.5,12.12,12.33,0.38,11.97,6.41,21.12,12.3,101.58,6.41,1
172.2,149.67,163.1,113.43,12.13,12.32,0.41,11.97,6.41,20.62,13.9,97.37,6.4,1
157.9,155.78,161.5,109.32,11.9,12.25,,11.97,6.61,24.37,14.1,103.51,6.6,1
167.6,167.94,142.1,114.15,11.88,12.3,,11.97,6.61,22.28,24.4,92.6,6.62,1
160.3,149.85,153.8,112.59,11.8,12.21,0.4,11.97,6.61,21.52,15.9,95.62,6.63,1
163.3,145.37,157.8,110.38,12.07,12.2,0.41,11.97,6.41,23.38,18.8,92.47,6.41,1
166.3,181.98,172.8,114.15,12.05,12.19,,11.97,6.6,22.66,17.8,100.38,6.6,1
153.6,158.7,173.8,111.05,11.84,12.31,0.38,11.97,6.61,24.52,13.5,93.78,6.61,1
175.4,147.4,187.3,112.52,11.85,12.17,,11.97,6.63,26.46,20.5,101.53,6.6,1
164.9,148.13,142.6,106.95,11.9,12.36,,11.97,6.62,23.17,11.0,89.48,6.61,1
165.8,174.52,149.5,117.34,12.06,12.12,,11.97,6.62,24.19,17.3,106.74,6.61,1
146.5,154.73,144.2,113.36,12.09,12.34,0.4,11.97,6.43,18.18,18.0,88.07,6.42,1
190.2,169.99,166.4,118.34,12.06,12.22,,11.97,6.62,23.36,13.5,106.97,6.6,1
167.2,157.94,143.1,111.79,12.09,12.38,0.4,11.97,6.4,23.31,11.1,92.19,6.43,1
178.4,161.86,154.5,112.68,11.83,12.21,,11.97,6.61,24.26,22.3,101.96,6.6,1
137.2,157.15,175.8,113.25,11.81,12.27,0.35,11.97,6.6,25.53,14.1,95.03,6.6,1
177.8,146.85,157.5,113.34,11.77,12.23,,11.97,6.61,23.73,17.9,92.78,6.61,1
178.6,174.74,139.0,114.84,12.07,12.22,,11.97,6.61,25.24,11.4,99.38,6.61,1
144.0,152.24,131.3,114.6,12.11,12.3,0.4,11.97,6.41,17.99,17.2,86.18,6.42,1
166.8,164.8,150.7,109.68,11.89,12.28,,11.98,6.62,24.91,12.6,92.9,6.61,1
147.3,144.23,166.2,112.36,12.13,12.29,0.38,11.97,6.42,20.0,10.3,83.7,6.41,1
166.2,175.38,142.0,111.22,11.87,12.19,,11.97,6.6,25.81,19.6,100.44,6.63,1
148.6,160.3,186.1,112.58,12.1,12.27,,11.98,6.61,23.69,41.2,100.28,6.63,1
147.3,150.34,177.3,114.03,12.14,12.42,0.4,11.97,6.41,20.66,13.0,95.23,6.43,1
145.3,171.24,171.2,114.93,12.07,12.31,,11.97,6.62,22.87,16.0,99.57,6.6,1
172.7,144.69,146.1,113.97,11.85,12.17,0.39,11.97,6.61,24.98,22.7,101.13,6.6,1
157.3,171.47,158.9,109.37,12.08,12.34,,11.97,6.62,22.72,17.2,101.79,6.61,1
164.4,158.45,148.1,113.6,12.1,12.26,,11.97,6.62,23.05,10.7,97.82,6.61,1
155.5,161.62,152.0,113.23,11.82,12.26,0.38,11.97,6.61,26.47,13.3,99.28,6.63,1
139.4,170.81,162.6,113.91,12.08,12.2,,11.97,6.62,23.2,12.9,93.93,6.6,1
167.1,152.68,150.8,112.2,11.9,12.27,,11.97,6.61,24.27,9.6,90.14,6.61,1
167.0,155.56,159.5,113.62,11.82,12.29,0.37,11.97,6.6,26.02,12.7,98.65,6.64,1
143.1,130.92,171.1,114.44,12.04,12.2,0.41,11.97,6.41,24.14,19.4,104.08,6.41,1
161.1,146.54,138.3,110.82,11.82,12.19,0.36,11.97,6.6,23.99,16.1,92.83,6.6,1
151.3,150.88,148.4,115.17,12.03,12.21,0.41,11.97,6.4,23.25,20.0,101.05,6.41,1
155.5,172.52,142.5,117.04,12.09,12.19,,11.97,6.61,25.0,26.8,96.92,6.61,1
164.6,139.24,183.1,114.93,12.12,12.26,0.4,11.97,6.41,17.89,15.1,81.11,6.41,1
176.6,139.96,160.1,117.57,11.71,12.41,,11.97,6.6,22.39,10.7,101.22,6.6,1
148.8,170.85,159.3,119.25,12.09,12.3,,11.97,6.62,24.18,13.2,108.13,6.6,1
140.6,162.04,111.2,112.24,11.82,12.14,0.38,11.97,6.61,24.83,17.7,104.93,6.61,1
161.0,173.18,145.2,109.48,11.8,12.33,0.36,11.97,6.6,26.29,16.3,105.72,6.61,1
174.5,141.11,144.5,117.87,11.84,12.28,0.32,11.97,6.61,25.85,17.4,98.24,6.61,1
150.2,150.62,128.9,112.31,12.08,12.3,0.34,11.97,6.41,23.23,15.2,98.45,6.4,1
173.3,176.86,189.8,116.97,12.09,12.18,,11.98,6.63,25.83,20.9,95.98,6.6,1
134.7,157.93,171.0,112.07,11.81,12.24,0.35,11.97,6.61,24.44,30.5,92.98,6.63,1
170.8,156.74,144.3,115.47,11.82,12.34,0.38,11.97,6.61,24.89,18.8,98.66,6.61,1
147.8,163.22,166.3,115.77,12.09,12.24,,11.97,6.6,24.59,16.2,98.11,6.61,1
180.8,153.75,139.2,110.14,11.84,12.18,0.32,11.97,6.6,25.33,19.5,95.44,6.62,1
171.3,157.58,141.5,110.34,11.83,12.15,,11.97,6.61,24.69,19.9,102.7,6.62,1
157.1,165.66,147.0,112.32,11.9,12.26,,11.97,6.62,28.2,28.0,102.79,6.6,1
159.3,155.47,175.5,121.63,12.05,12.19,0.41,11.97,6.41,22.85,19.7,93.9,6.42,1
147.3,153.88,166.2,114.07,12.08,12.14,,11.97,6.61,21.4,24.9,99.87,6.61,1
171.9,153.07,167.9,113.02,12.04,12.31,0.41,11.97,6.41,23.18,12.1,108.66,6.42,1
153.6,142.68,192.2,112.96,12.04,12.44,0.39,11.97,6.4,26.04,7.5,112.98,6.41,1
181.5,153.36,167.8,111.6,12.12,12.18,0.39,11.97,6.41,23.97,15.0,99.39,6.4,1
136.0,149.59,169.8,111.76,12.12,12.28,0.39,11.97,6.41,23.54,13.2,97.25,6.41,1
144.1,152.83,149.3,114.79,12.08,12.09,,11.98,6.62,22.61,19.6,97.14,6.61,1
165.1,162.02,131.4,111.7,11.83,12.25,0.37,11.97,6.61,26.57,11.7,103.06,6.61,1
164.6,166.93,162.6,115.03,11.92,12.28,,11.98,6.62,26.53,15.5,117.61,6.6,1
136.2,142.81,166.6,113.82,11.83,12.39,0.37,11.97,6.63,23.02,9.4,95.57,6.61,1
129.7,149.67,140.1,110.11,12.13,12.22,0.37,11.97,6.42,21.02,15.3,93.38,6.42,1
188.2,149.66,171.2,109.95,11.74,12.39,,11.97,6.6,32.54,14.3,113.99,6.61,1
164.4,136.02,149.8,114.65,12.08,12.19,0.36,11.97,6.41,22.34,13.4,99.92,6.42,1
174.3,133.43,158.1,112.85,12.06,12.24,0.39,11.97,6.4,20.34,23.0,89.54,6.42,1
164.0,156.38,161.8,112.28,12.04,12.25,0.41,11.97,6.41,25.58,12.7,103.12,6.41,1
163.0,153.56,140.0,111.92,12.04,12.27,0.39,11.97,6.42,24.5,13.8,105.53,6.41,1
146.8,152.89,149.1,112.15,12.09,12.22,0.41,11.97,6.41,23.13,14.4,102.38,6.41,1
153.7,163.58,171.6,114.54,12.07,12.24,,11.97,6.61,23.14,19.1,100.36,6.62,1
147.5,164.98,156.9,121.9,11.9,12.3,,11.97,6.62,24.29,13.2,95.58,6.61,1
153.3,175.72,176.3,116.42,12.08,12.15,,11.97,6.61,24.05,17.8,107.49,6.61,1
193.8,165.59,173.1,116.24,11.82,12.3,,11.97,6.6,27.47,13.8,104.99,6.62,1
172.0,148.2,152.9,108.6,11.9,12.28,,11.98,6.6,23.12,14.0,93.46,6.61,1
143.8,151.73,150.5,110.08,12.09,12.24,0.41,11.97,6.41,22.22,15.1,99.31,6.4,1
152.1,154.27,168.0,116.31,11.85,12.16,,11.97,6.61,25.35,20.1,105.58,6.61,1
165.5,152.81,139.6,110.73,12.11,12.25,0.37,11.97,6.41,23.13,13.9,97.62,6.41,1
149.0,158.82,169.5,115.84,12.09,12.12,,11.97,6.62,23.78,24.3,100.32,6.62,1
165.5,157.52,159.6,110.53,11.85,12.21,0.39,11.97,6.61,27.03,22.1,96.29,6.61,1
175.7,154.86,181.1,114.1,11.9,12.31,,11.97,6.62,22.73,20.0,90.87,6.62,1
168.6,156.44,166.9,110.37,11.86,12.36,0.37,11.97,6.62,24.98,11.2,96.68,6.61,1
158.0,133.2,151.2,112.11,12.06,12.21,0.41,11.97,6.42,19.73,19.8,90.52,6.4,1
172.4,184.93,159.4,117.82,12.07,12.28,,11.97,6.62,24.35,25.6,99.17,6.61,1
161.0,146.09,144.3,107.0,12.04,12.24,0.41,11.97,6.42,23.68,14.2,96.14,6.41,1
172.5,163.98,149.3,117.57,11.83,12.2,0.37,11.97,6.61,26.57,17.7,104.79,6.61,1
183.3,152.48,165.2,112.38,12.11,12.2,0.39,11.97,6.4,21.05,20.2,98.26,6.4,1
142.4,143.19,118.1,113.54,11.84,12.2,,11.97,6.6,25.39,22.2,97.28,6.63,1
167.6,146.37,147.2,116.52,12.11,12.29,0.39,11.97,6.41,19.44,15.9,84.18,6.41,1
143.0,156.4,160.8,113.45,12.05,12.23,0.41,11.97,6.41,23.58,13.0,98.67,6.4,1
162.3,159.11,154.7,111.63,11.82,12.23,0.4,11.97,6.6,26.54,13.2,107.18,6.61,1
125.6,178.25,162.6,115.21,12.06,12.29,,11.97,6.63,25.38,25.0,103.59,6.63,1
162.8,145.55,157.7,110.8,11.9,12.26,,11.97,6.62,23.26,17.7,97.73,6.61,1
155.5,155.5,151.4,113.11,12.08,12.26,,11.97,6.63,23.63,11.0,100.49,6.61,1
147.0,155.6,160.6,111.75,11.9,12.27,,11.97,6.61,24.94,12.1,98.33,6.61,1
158.5,131.28,150.7,115.02,12.05,12.21,0.38,11.97,6.41,22.41,16.5,96.96,6.41,1
148.5,170.41,146.1,111.08,12.07,12.24,,11.97,6.6,23.78,16.7,94.33,6.62,1
156.7,143.79,148.4,117.78,11.89,12.31,,11.97,6.63,23.18,11.4,97.18,6.63,1
132.0,149.12,143.7,114.47,11.84,12.26,0.35,11.97,6.61,25.9,34.3,96.8,6.61,1
197.7,145.66,167.5,107.96,11.84,12.21,,11.97,6.5,26.55,16.0,103.62,6.6,1
163.5,158.24,144.4,121.04,11.9,12.25,,11.97,6.61,23.74,15.1,97.42,6.61,1
142.7,149.44,192.3,113.66,12.13,12.28,0.39,11.97,6.4,18.2,16.2,77.56,6.41,1
151.8,161.29,141.8,115.16,11.82,12.26,0.37,11.97,6.61,26.81,21.5,99.27,6.61,1
140.4,147.26,142.6,113.66,12.04,12.2,0.41,11.97,6.41,23.54,20.1,99.34,6.41,1
154.8,159.1,169.9,116.02,12.09,12.12,,11.97,6.63,22.12,26.2,101.07,6.6,1
141.9,142.0,135.6,111.05,12.05,12.28,0.41,11.97,6.41,20.55,16.0,99.18,6.4,1
145.8,161.29,165.9,120.8,11.91,12.26,,11.97,6.6,25.0,18.8,94.12,6.6,1
193.9,156.04,177.8,109.35,11.83,12.2,,11.97,6.61,25.9,18.9,105.1,6.6,1
156.2,144.5,145.4,117.01,12.04,12.3,0.41,11.97,6.41,21.36,12.7,104.65,6.41,1
160.0,150.41,142.9,112.99,12.04,12.29,0.41,11.97,6.41,23.85,14.4,97.45,6.43,1
149.1,157.73,171.4,110.38,11.82,12.14,0.29,11.98,6.61,24.51,21.8,97.84,6.61,1
144.0,173.47,169.9,113.06,11.97,12.14,,11.97,6.63,24.91,18.0,95.77,6.6,1
168.8,138.02,151.7,109.67,11.83,12.15,0.38,11.97,6.62,23.33,25.1,102.18,6.61,1
141.6,167.28,158.6,111.55,12.08,12.19,,11.97,6.62,25.47,19.2,105.26,6.61,1
165.3,143.48,161.4,114.26,12.06,12.25,0.41,11.97,6.41,22.48,14.4,98.81,6.41,1
148.7,132.61,156.0,111.66,12.08,12.22,0.38,11.97,6.41,23.76,23.7,93.39,6.4,1
147.5,157.88,139.2,108.67,12.09,12.14,,11.97,6.6,23.6,31.6,97.7,6.63,1
169.6,158.34,156.3,108.19,11.81,12.19,0.36,11.97,6.61,26.04,24.2,93.88,6.62,1
185.7,136.92,191.6,108.83,11.84,12.22,0.35,11.97,6.61,22.44,14.9,95.58,6.6,1
162.1,166.64,160.3,116.09,11.9,12.15,,11.97,6.64,27.19,23.2,117.27,6.61,1
197.8,141.61,185.5,115.41,11.87,12.25,,11.97,6.45,26.19,18.1,103.63,6.6,1
150.7,150.65,155.8,106.44,11.9,12.29,,11.97,6.62,24.46,15.4,93.84,6.62,1
135.7,162.28,142.6,115.0,11.82,12.35,0.37,11.97,6.62,25.42,44.0,97.79,6.61,1
142.3,168.37,149.7,111.37,12.08,12.24,,11.97,6.61,24.29,12.2,97.9,6.61,1
158.8,152.62,140.8,117.62,12.11,12.24,0.41,11.97,6.4,22.72,13.7,106.88,6.41,1
149.7,162.42,153.6,113.83,11.89,12.3,,11.97,6.62,24.59,14.3,99.19,6.61,1
137.2,149.65,162.4,108.7,12.12,12.43,0.39,11.97,6.4,20.65,11.3,85.17,6.42,1
174.5,139.4,133.5,116.92,11.84,12.27,0.38,11.98,6.61,25.28,20.0,99.89,6.61,1
157.8,171.67,142.6,116.21,12.07,12.28,,11.97,6.62,22.36,13.3,102.94,6.65,1
163.6,163.5,135.2,111.35,11.9,12.23,,11.97,6.62,27.42,19.8,107.71,6.6,1
147.3,159.12,150.2,117.52,12.07,12.28,,11.97,6.61,21.23,13.8,100.59,6.61,1
178.9,150.86,166.0,110.65,11.69,12.25,,11.97,6.6,23.8,11.0,94.55,6.62,1
173.0,147.79,134.6,111.84,11.91,12.26,,11.97,6.62,21.44,27.3,97.97,6.6,1
146.1,173.24,137.3,113.2,12.06,12.27,,11.97,6.62,23.66,28.8,101.81,6.63,1
169.9,155.09,143.7,113.55,12.09,12.21,0.41,11.97,6.41,22.88,21.7,96.07,6.4,1
159.6,157.89,130.6,112.71,11.89,12.36,,11.97,6.62,23.46,10.2,90.46,6.61,1
183.5,144.55,160.8,114.58,12.11,12.26,0.4,11.97,6.41,20.83,14.2,84.48,6.4,1
192.3,143.24,151.4,113.27,11.86,12.31,0.4,11.97,6.6,25.17,11.4,99.09,6.6,1
154.7,168.79,155.7,112.2,11.88,12.21,,11.97,6.62,25.23,18.7,98.43,6.62,1
167.5,161.28,148.2,115.45,11.8,12.18,0.35,11.97,6.61,25.51,23.0,95.93,6.6,1
172.6,152.1,144.9,111.89,12.1,12.27,0.38,11.97,6.41,21.61,12.4,91.77,6.41,1
158.7,156.6,147.8,112.57,12.12,12.33,0.4,11.97,6.43,22.33,10.9,90.67,6.41,1
154.8,159.11,159.9,112.97,12.07,12.23,,11.97,6.62,23.96,14.1,96.59,6.6,1
177.1,141.43,176.6,114.37,11.85,12.27,0.41,11.97,6.62,23.84,15.7,92.97,6.62,1
148.2,172.38,142.7,114.85,12.1,12.16,,11.97,6.6,24.07,25.0,96.7,6.61,1
146.2,170.89,145.6,114.4,12.06,12.21,,11.97,6.62,24.07,27.7,103.22,6.61,1
156.1,152.44,153.7,113.9,12.03,12.36,0.41,11.97,6.41,21.95,12.0,99.38,6.4,1
146.5,167.39,152.4,115.91,11.89,12.29,,11.97,6.61,26.16,22.7,100.84,6.61,1
156.6,157.47,186.3,115.25,12.09,12.21,0.4,11.97,6.4,19.53,17.0,91.92,6.41,1
168.0,148.55,156.0,113.74,11.85,12.14,0.35,11.97,6.61,26.06,17.4,95.04,6.64,1
182.5,138.41,171.1,110.65,12.07,12.25,0.41,11.97,6.41,18.88,17.1,94.62,6.42,1
170.7,145.05,159.4,117.7,12.12,12.25,0.41,11.97,6.41,19.19,16.0,83.46,6.41,1
152.4,160.33,190.3,111.53,11.9,12.26,,11.98,6.62,23.64,13.9,104.47,6.64,1
150.8,155.11,147.5,108.94,12.13,12.24,0.39,11.97,6.4,21.67,16.3,95.48,6.4,1
170.7,156.73,181.5,113.33,11.81,12.28,0.34,11.97,6.61,24.6,12.1,95.11,6.62,1
197.9,143.1,140.9,111.15,12.13,12.17,0.41,11.97,6.3,21.23,25.6,86.48,6.41,1
151.5,158.8,176.0,108.9,11.82,12.18,0.37,11.97,6.6,25.64,42.1,106.61,6.61,1
146.6,147.82,150.8,116.58,12.11,12.21,0.4,11.97,6.42,17.43,17.9,90.99,6.41,1
144.3,148.44,149.8,115.42,12.04,12.26,0.41,11.97,6.41,21.23,14.8,90.89,6.41,1
175.6,155.44,159.8,118.88,11.89,12.37,,11.97,6.61,25.67,25.8,97.65,6.62,1
168.7,145.12,197.8,114.0,12.04,12.36,0.41,11.97,6.43,21.6,11.2,101.82,6.39,1
182.4,143.76,165.9,113.44,12.12,12.31,0.41,11.97,6.44,19.71,14.9,83.55,6.41,1
138.5,153.02,163.3,114.17,12.08,12.17,,11.97,6.62,21.83,16.3,96.46,6.62,1
144.5,169.87,156.1,118.53,12.07,12.24,,11.97,6.62,25.42,12.6,97.04,6.6,1
128.0,150.69,127.5,105.03,12.07,12.3,0.35,11.97,6.41,23.49,10.5,97.53,6.4,1
162.3,164.0,170.5,109.48,11.76,12.31,,11.97,6.61,24.24,10.5,94.57,6.6,1
156.6,168.49,142.6,115.69,12.06,12.18,,11.98,6.62,24.08,16.1,105.45,6.61,1
139.9,140.77,174.3,114.14,11.92,12.35,,11.97,6.62,21.34,9.2,88.51,6.61,1
168.3,165.95,159.2,106.05,11.88,12.19,,11.98,6.62,24.45,21.8,93.18,6.61,1
155.8,161.2,164.0,111.91,12.12,12.22,0.4,11.97,6.41,23.03,18.7,95.95,6.41,1
151.5,157.44,152.4,110.42,11.82,12.2,0.41,11.97,6.61,25.32,17.7,97.31,6.62,1
181.1,146.79,157.8,116.0,11.76,12.25,,11.97,6.6,24.29,23.7,88.47,6.61,1
186.8,154.22,144.1,109.99,12.04,12.27,0.41,11.97,6.41,24.38,43.4,102.13,6.4,1
155.9,161.88,154.1,106.6,11.8,12.29,0.4,11.97,6.61,27.52,12.6,97.2,6.61,1
140.1,152.82,157.5,116.48,11.91,12.2,,11.97,6.61,25.62,26.3,103.74,6.61,1
161.9,152.05,157.3,107.34,12.12,12.35,0.33,11.98,6.43,22.81,11.7,89.9,6.4,1
175.9,177.13,190.3,111.29,12.06,12.16,,11.98,6.6,22.64,18.7,105.83,6.62,1
143.8,142.9,158.5,113.12,11.86,12.3,0.37,11.97,6.61,28.21,14.3,92.84,6.62,1
191.0,175.53,159.7,113.37,12.09,12.26,,11.97,6.61,21.54,22.1,100.73,6.63,1
147.9,140.59,150.8,113.29,12.1,12.34,0.41,11.97,6.42,23.27,18.6,95.06,6.4,1
190.2,171.61,192.3,109.56,12.08,12.2,,11.97,6.63,24.89,18.2,101.98,6.61,1
148.4,142.3,196.9,113.34,11.71,12.27,,11.97,6.61,22.86,15.0,100.65,6.62,1
148.4,154.24,134.6,113.05,11.83,12.23,0.38,11.97,6.61,25.69,22.0,108.73,6.6,1
172.0,141.86,157.6,115.09,12.13,12.27,0.4,11.97,6.41,21.58,20.3,88.73,6.41,1
156.9,172.52,162.1,112.58,12.07,12.3,,11.97,6.62,24.96,12.6,108.58,6.6,1
145.3,141.5,138.0,111.06,11.83,12.15,0.38,11.98,6.61,25.14,39.0,99.79,6.61,1
137.0,144.78,162.7,116.42,11.83,12.29,0.39,11.97,6.61,22.14,13.9,92.95,6.6,1
154.5,143.38,162.1,118.56,11.87,12.23,0.36,11.97,6.6,23.9,13.8,97.53,6.62,1
156.5,162.71,145.5,118.56,11.89,12.24,,11.97,6.62,23.83,18.4,101.03,6.61,1
191.5,170.49,184.7,115.01,11.8,12.31,0.35,11.97,6.63,28.37,18.1,100.62,6.62,1
156.4,146.25,183.7,113.48,11.91,12.38,,11.97,6.61,22.62,13.0,92.09,6.62,1
197.4,179.31,158.5,111.47,12.06,12.22,,11.97,6.45,23.47,18.1,101.71,6.6,1
157.5,149.66,152.5,111.93,12.07,12.26,0.31,11.97,6.41,25.17,15.2,96.08,6.4,1
149.9,152.99,156.8,113.49,12.09,12.27,0.41,11.97,6.41,24.91,15.0,103.24,6.41,1
146.9,142.69,159.8,116.68,12.12,12.4,0.39,11.97,6.41,19.22,13.7,83.43,6.41,1
137.3,156.57,149.2,116.0,11.83,12.22,0.39,11.97,6.61,26.5,18.8,109.66,6.6,1
161.6,143.02,162.9,110.49,12.12,12.38,0.4,11.97,6.42,17.44,12.7,77.55,6.41,1
153.1,153.72,147.5,119.03,11.83,12.2,0.39,11.97,6.61,24.54,25.1,99.6,6.6,1
147.5,153.84,146.3,121.19,12.06,12.33,0.41,11.97,6.4,26.4,11.8,94.61,6.42,1
157.1,144.4,178.6,113.07,11.85,12.24,0.38,11.97,6.6,25.69,16.8,95.48,6.62,1
154.7,172.63,155.9,115.1,12.1,12.18,,11.97,6.62,23.37,38.7,100.86,6.63,1
139.7,149.35,162.7,106.1,11.9,12.26,,11.98,6.62,23.35,15.4,89.74,6.61,1
171.9,166.52,154.2,118.13,12.09,12.23,,11.97,6.61,25.07,18.0,98.21,6.61,1
173.0,168.88,153.2,107.78,11.87,12.18,,11.98,6.62,25.19,20.2,94.27,6.61,1
142.2,174.5,179.4,109.88,12.06,12.26,,11.97,6.6,23.29,20.1,103.26,6.61,1
173.4,166.28,178.4,113.83,11.83,12.15,,11.97,6.6,25.94,42.1,98.83,6.61,1
158.5,167.44,151.6,119.18,11.92,12.35,,11.97,6.62,26.18,11.6,113.78,6.62,1
149.6,149.05,160.2,114.96,11.89,12.33,,11.97,6.61,24.96,16.5,93.37,6.6,1
176.3,152.83,115.8,115.34,12.12,12.26,0.39,11.97,6.41,18.94,12.1,81.53,6.41,1
168.8,172.44,160.6,109.78,11.91,12.21,,11.97,6.6,24.9,15.0,111.65,6.63,1
142.9,137.31,150.1,116.62,12.13,12.25,0.4,11.97,6.4,18.15,15.9,79.17,6.41,1
163.3,183.66,163.3,112.2,12.06,12.29,,11.97,6.62,23.94,15.7,104.99,6.6,1
190.2,178.52,165.9,116.04,12.09,12.2,,11.97,6.61,24.32,12.2,101.05,6.61,1
148.6,167.47,132.1,111.95,11.89,12.39,,11.97,6.62,23.72,11.4,94.02,6.6,1
147.3,152.84,160.7,109.75,12.13,12.14,0.39,11.97,6.4,18.09,22.5,81.66,6.4,1
154.9,152.91,151.3,114.38,12.12,12.35,0.41,11.97,6.41,25.19,12.3,95.49,6.41,1
146.1,155.0,156.2,113.39,11.82,12.36,0.37,11.98,6.6,25.84,12.2,101.86,6.61,2
164.8,161.82,150.9,116.19,11.93,12.32,,11.98,6.62,28.47,15.5,110.08,6.61,1
161.4,174.93,158.0,111.7,11.89,12.26,,11.97,6.64,24.1,18.2,107.13,6.6,1
145.5,134.43,141.2,112.27,12.11,12.24,0.41,11.97,6.41,21.35,15.9,94.51,6.41,2
134.8,151.58,167.0,108.39,12.11,12.28,0.4,11.97,6.4,23.01,15.0,91.97,6.41,1
166.1,147.57,153.1,121.91,11.91,12.26,,11.97,6.62,24.6,21.2,89.3,6.61,1
154.5,159.94,147.6,109.15,12.08,12.17,,11.97,6.64,23.7,15.1,97.04,6.61,1
171.9,135.29,166.8,118.5,12.05,12.27,0.41,11.97,6.4,20.75,14.6,96.15,6.41,2
170.6,159.9,137.1,111.4,12.07,12.45,,11.97,6.62,22.25,7.7,103.05,6.6,1
153.4,149.75,175.2,122.44,12.09,12.15,,11.97,6.6,19.11,19.8,100.24,6.62,1
129.7,149.16,120.9,112.96,12.05,12.33,0.41,11.98,6.41,24.52,12.6,101.26,6.4,1
134.7,159.7,161.9,114.27,11.81,12.37,0.29,11.97,6.61,23.83,19.2,94.66,6.62,1
186.7,148.53,161.9,115.2,12.13,12.26,0.4,11.97,6.41,19.54,14.7,96.92,6.43,1
151.8,150.0,157.4,115.11,11.92,12.31,,11.97,6.61,21.48,16.3,86.09,6.61,1
160.3,162.39,158.4,114.36,11.83,12.26,,11.97,6.61,27.25,15.7,105.76,6.61,1
148.3,165.42,164.3,117.69,12.07,12.15,,11.97,6.62,22.78,18.3,94.63,6.61,1
153.5,151.76,146.4,116.85,11.69,12.36,,11.97,6.62,26.35,11.6,100.71,6.6,1
132.7,152.85,156.0,116.62,12.09,12.27,,11.97,6.62,25.82,11.6,95.86,6.62,1
158.6,162.04,163.9,110.89,11.91,12.2,,11.97,6.61,27.41,17.7,101.75,6.61,1
131.7,143.83,120.9,121.52,12.1,12.29,0.3,11.97,6.41,22.4,12.2,95.16,6.42,1
149.4,160.6,148.6,114.92,11.82,12.28,0.38,11.97,6.63,23.48,13.4,97.98,6.6,1
161.6,154.08,168.2,111.9,12.1,12.29,,11.97,6.62,21.85,10.8,99.35,6.61,1
163.7,154.26,183.3,114.03,11.88,12.26,,11.97,6.6,26.12,13.9,95.98,6.61,1
141.3,175.26,143.6,113.25,12.06,12.22,,11.97,6.62,22.05,11.6,97.97,6.61,1
158.3,135.74,141.9,109.37,12.05,12.32,0.41,11.97,6.41,22.72,15.9,103.11,6.44,1
156.7,157.16,146.9,113.3,11.84,12.32,,11.97,6.61,26.74,11.5,99.28,6.62,1
171.7,155.62,151.8,107.94,12.11,12.24,0.38,11.97,6.41,23.81,19.5,103.04,6.42,1
174.6,150.38,148.5,112.41,12.09,12.44,,11.97,6.62,22.6,10.4,95.16,6.61,1
184.2,178.18,162.0,115.94,12.07,12.24,,11.97,6.62,23.04,13.8,104.44,6.6,1
154.1,156.93,147.3,118.39,11.89,12.23,,11.97,6.6,24.24,20.4,86.72,6.61,1
197.7,144.55,153.9,119.13,11.84,12.25,0.37,11.97,6.5,25.22,16.2,96.49,6.61,1
174.6,143.99,185.1,115.98,12.12,12.36,0.4,11.97,6.43,17.93,13.7,82.98,6.41,1
